Name,isTF
HOXB8,Yes
HOXB9,Yes
HOXC10,Yes
HOXC11,Yes
HOXC12,Yes
HOXC13,Yes
HOXC4,Yes
HOXC5,Yes
HOXC6,Yes
HOXC8,Yes
HOXC9,Yes
HOXD1,Yes
HOXD10,Yes
HOXD11,Yes
HOXD12,Yes
HOXD13,Yes
HOXD3,Yes
HOXD4,Yes
HOXD8,Yes
HOXD9,Yes
IRX1,Yes
IRX2,Yes
IRX3,Yes
IRX4,Yes
IRX5,Yes
IRX6,Yes
ISL1,Yes
ISL2,Yes
ISX,Yes
LBX1,Yes
LBX2,Yes
LEUTX,Yes
LHX1,Yes
LHX2,Yes
LHX3,Yes
LHX4,Yes
LHX5,Yes
LHX6,Yes
LHX8,Yes
LHX9,Yes
LMX1A,Yes
LMX1B,Yes
MEIS1,Yes
MEIS2,Yes
MEIS3,Yes
MEOX1,Yes
MEOX2,Yes
MIXL1,Yes
MKX,Yes
MNX1,Yes
MSX1,Yes
MSX2,Yes
NANOG,Yes
NANOGNB,Yes
NANOGP8,Yes
NKX1-1,Yes
NKX1-2,Yes
NKX2-1,Yes
NKX2-2,Yes
NKX2-3,Yes
NKX2-4,Yes
NKX2-5,Yes
NKX2-6,Yes
NKX2-8,Yes
NKX3-1,Yes
NKX3-2,Yes
NKX6-1,Yes
NKX6-2,Yes
NKX6-3,Yes
NOBOX,Yes
NOTO,Yes
OTP,Yes
OTX1,Yes
OTX2,Yes
PBX1,Yes
PBX2,Yes
PBX3,Yes
PBX4,Yes
